时间,地区,幼儿园园数,教职工数,学校面积,幼儿园经费
2008,北京,1266,32535,3870664,726325
2008,天津,1614,15000,2078153,453382
2008,河北,6383,61815,13560180,725307
2008,山西,4486,37610,6441181,370491
2008,内蒙古,1664,21893,3584798,399787
2008,辽宁,7492,56110,7218547,277997
2008,吉林,2749,23455,2926355,223498
2008,黑龙江,4466,29623,4523280,172719
2008,上海,1058,33628,5298241,2894614
2008,江苏,4241,96061,18704981,1314025
2008,浙江,10212,127635,14448048,1251459
2008,安徽,3232,30589,4546736,315235
2008,福建,7508,52881,6642405,639015
2008,江西,6620,47920,5471452,186917
2008,山东,15839,109092,26310493,551956
2008,河南,5617,78639,11306960,486094
2008,湖北,2880,41920,5639615,328310
2008,湖南,5517,58230,7473895,221700
2008,广东,10533,191444,19605898,1085767
2008,广西,4585,40735,4479317,336921
2008,海南,832,10312,1275852,34224
2008,重庆,3582,25463,3434090,180147
2008,四川,8425,68726,8401462,608606
2008,贵州,1960,20079,2219458,221552
2008,云南,3085,37011,4716062,526566
2008,西藏,83,1131,290273,30324
2008,陕西,2813,36845,4091219,228899
2008,甘肃,2405,16851,3264421,297052
2008,青海,374,4701,789820,56400
2008,宁夏,286,5375,842604,113039
2008,新疆,1915,20902,5091823,455564
,,,,,
2009,北京,1253,34973,4007080,1002391
2009,天津,1621,15654,1953365,564685
2009,河北,6434,66922,14105645,1000786
2009,山西,4354,39470,6529591,489438
2009,内蒙古,1911,24163,4717817,510783
2009,辽宁,7374,59595,7309909,365000
2009,吉林,2577,23100,2574994,252936
2009,黑龙江,4092,28883,4009655,205005
2009,上海,1111,35985,5907569,3362759
2009,江苏,4110,105106,19710276,1953775
2009,浙江,10067,139977,15288644,1600572
2009,安徽,3611,38029,5196824,353600
2009,福建,7137,57873,7098367,792061
2009,江西,8236,60102,6632994,219509
2009,山东,15368,114406,26399292,745488
2009,河南,6355,89211,12479006,591130
2009,湖北,2995,46867,5790236,487277
2009,湖南,6453,69731,8843918,274651
2009,广东,11018,210313,21400482,1225382
2009,广西,5053,44730,4822421,417531
2009,海南,785,10305,1200469,30690
2009,重庆,3700,27656,3557951,221115
2009,四川,8562,74257,8747528,744685
2009,贵州,2063,21829,2373042,227077
2009,云南,3381,40322,5167030,561705
2009,西藏,88,1281,301275,50529
2009,陕西,2902,39079,4186394,330347
2009,甘肃,2452,18156,3346709,297240
2009,青海,466,5356,1188411,84396
2009,宁夏,334,6191,940987,131425
2009,新疆,2256,21234,6785953,810189
,,,,,
2010,北京,1245,37227,4243095,1048641
2010,天津,1607,16586,2063603,676186
2010,河北,7368,76333,16495677,1792177
2010,山西,4352,42782,6740564,533003
2010,内蒙古,2039,27487,4889788,686230
2010,辽宁,8613,78647,6954445,418010
2010,吉林,2729,26619,3012658,298828
2010,黑龙江,3942,29803,4044064,241762
2010,上海,1252,40855,6526425,3749860
2010,江苏,3944,120981,22427464,2427254
2010,浙江,9863,157174,16548237,1959414
2010,安徽,4018,45571,6182041,419109
2010,福建,6179,63743,7413290,987865
2010,江西,8518,69186,7257927,237819
2010,山东,17751,142146,31186795,844620
2010,河南,7698,110616,15158060,725970
2010,湖北,4395,66202,8389427,420527
2010,湖南,7829,88538,11121187,294574
2010,广东,11161,236760,23399773,1177383
2010,广西,5249,53380,5336467,491903
2010,海南,1005,13473,1461268,37698
2010,重庆,4105,35701,4085821,257359
2010,四川,9483,87198,9876722,995613
2010,贵州,2196,24780,2594112,263535
2010,云南,3790,47001,5799210,640245
2010,西藏,119,1576,341801,62941
2010,陕西,3928,52548,5753291,454821
2010,甘肃,2407,19672,3456169,365078
2010,青海,599,6202,1840816,78178
2010,宁夏,373,7029,1166755,146284
2010,新疆,2563,23485,8406372,1472751
,,,,,
2011,北京,1305,44458,4560607,3110523
2011,天津,1455,17374,2243735,1152280
2011,河北,8183,88621,18914834,3388468
2011,山西,4908,51472,7915426,1238619
2011,内蒙古,2197,34600,5632404,1404914
2011,辽宁,8661,64742,10607400,2335148
2011,吉林,3432,36783,4013109,917700
2011,黑龙江,4504,39417,5471171,1052183
2011,上海,1337,45794,6962263,5212782
2011,江苏,4250,140636,24737115,6253015
2011,浙江,9649,168497,18093481,6301385
2011,安徽,4613,58928,8046239,1264971
2011,福建,6820,92980,9176128,3091642
2011,江西,9430,86222,9391562,1400511
2011,山东,18455,167592,32998698,3925353
2011,河南,10304,151007,20804029,2933171
2011,湖北,4670,79659,10007511,2869991
2011,湖南,9496,107361,13907511,2408246
2011,广东,11785,269963,25823493,9651585
2011,广西,6208,66844,6476786,1293378
2011,海南,1020,16209,1623809,166716
2011,重庆,4112,43672,4622201,1344664
2011,四川,10162,101712,11202240,3199470
2011,贵州,2677,31657,3635979,580853
2011,云南,4257,54417,6966731,1502489
2011,西藏,198,1769,639106,114560
2011,陕西,5310,72360,8427496,1527720
2011,甘肃,2457,22374,4037967,698114
2011,青海,980,7334,2516405,283922
2011,宁夏,440,8361,1259975,312188
2011,新疆,3475,31552,12783443,2864864
,,,,,
2012,北京,1266,48080,2832682,3979983
2012,天津,1461,18567,1193650,1969803
2012,河北,9327,99777,6790130,4282850
2012,山西,5489,58666,4010079,1615321
2012,内蒙古,2585,41035,2732500,2200496
2012,辽宁,8667,71829,4643955,3023294
2012,吉林,3491,39451,1947400,1339987
2012,黑龙江,4796,44708,2565781,1448242
2012,上海,1401,49034,4842753,6461358
2012,江苏,4392,152943,14438150,8993367
2012,浙江,9573,180518,12284902,8565384
2012,安徽,5192,70140,4427528,2285804
2012,福建,7183,102660,6502485,4268267
2012,江西,10560,94067,6339804,2041245
2012,山东,17530,175801,12914340,6494625
2012,河南,12912,183529,11292156,500917
2012,湖北,5321,92024,6264002,2574890
2012,湖南,11030,126187,9031226,3568141
2012,广东,12720,303996,20216763,11408837
2012,广西,7554,79864,5109610,1760187
2012,海南,1323,21599,1179049,657795
2012,重庆,4401,52971,3182101,1977991
2012,四川,10794,115028,7686555,4539048
2012,贵州,3159,41030,2573351,1228791
2012,云南,4768,59613,4293425,2140329
2012,西藏,480,2221,225612,329196
2012,陕西,5784,85327,4987157,3325787
2012,甘肃,2712,25003,1874305,1011888
2012,青海,1143,7243,620678,482873
2012,宁夏,527,10109,690982,560034
2012,新疆,3710,36952,4101866,2320876
,,,,,
2013,北京,1384,53049,3287354,6098561
2013,天津,1702,20536,1435269,2643044
2013,河北,10813,117427,8321004,6321273
2013,山西,5882,63684,4595752,2577799
2013,内蒙古,2740,46246,3254463,3523399
2013,辽宁,9261,77888,5227166,3985026
2013,吉林,3808,43080,2246270,2426820
2013,黑龙江,5571,51578,3284035,2522133
2013,上海,1446,51022,5093618,7623404
2013,江苏,4722,175634,16909489,12316729
2013,浙江,9209,190186,13385658,10754324
2013,安徽,6075,83663,5736840,4348552
2013,福建,7419,112862,7496058,5534442
2013,江西,11485,102917,7327642,3436940
2013,山东,18528,202288,15577077,9812870
2013,河南,14485,215391,13611529,7399339
2013,湖北,6011,110376,7809430,4086413
2013,湖南,12236,143726,10629511,5295431
2013,广东,13793,336666,22525039,14750917
2013,广西,8886,94190,6209336,4066983
2013,海南,1596,25380,1438376,1256335
2013,重庆,4547,59744,3663770,3268412
2013,四川,11759,132832,8922818,7286340
2013,贵州,4016,54996,3676268,2475619
2013,云南,5326,66948,4999148,3493776
2013,西藏,613,2822,442012,685060
2013,陕西,6356,100518,6207000,5861784
2013,甘肃,3141,30370,2374775,2058506
2013,青海,1245,8047,770873,827685
2013,宁夏,634,11233,868650,733573
2013,新疆,3864,41454,4516533,2921357
,,,,,
2014,北京,1426,57950,3629088,8122735
2014,天津,1821,21889,1638428,2836893
2014,河北,11437,128100,9176096,6923238
2014,山西,6183,68785,5161741,3194675
2014,内蒙古,3140,53135,4028316,3998050
2014,辽宁,9439,88145,5694450,4315338
2014,吉林,4039,47445,2506775,2540718
2014,黑龙江,5853,55788,3722349,2454577
2014,上海,1462,53352,5322746,8804792
2014,江苏,5072,197076,18559871,14638577
2014,浙江,8871,200295,14386654,12889952
2014,安徽,6564,95225,6930471,4679876
2014,福建,7591,122885,8510181,6452433
2014,江西,11448,111715,8216906,4499609
2014,山东,18512,212629,17296394,11974572
2014,河南,15821,237511,15794098,9480242
2014,湖北,6491,122017,8879290,5196072
2014,湖南,12935,157461,11859973,6214901
2014,广东,15416,387991,26513020,18277932
2014,广西,9734,112347,7514181,4035167
2014,海南,1806,29198,1869032,1516469
2014,重庆,4669,64693,4195343,3251983
2014,四川,12111,148773,10031580,8088542
2014,贵州,4767,68420,4971237,2849792
2014,云南,6129,74537,5848481,3793138
2014,西藏,722,3383,492203,854615
2014,陕西,6970,115173,7458167,6090045
2014,甘肃,3471,36897,2971833,2239738
2014,青海,1316,9340,913857,993597
2014,宁夏,710,12834,1109141,907370
2014,新疆,3955,47237,4783318,3689732
,,,,,
2015,北京,1487,61903,3875221.4,8669435
2015,天津,1868,24922,1764454.72,3405315
2015,河北,12959,149194,10930824.46,7735991
2015,山西,6450,74823,5661346.95,3665679
2015,内蒙古,3516,59684,4744154.82,4684688
2015,辽宁,9531,98455,6200406.28,5044222
2015,吉林,4174,50183,2743016.37,3008725
2015,黑龙江,5770,59559,3954850.56,3001831
2015,上海,1510,56172,5648212.34,10190450
2015,江苏,6759,219483,20493442.62,16698563
2015,浙江,8908,212385,15633595.96,15072210
2015,安徽,6988,109295,8008914.81,5333692
2015,福建,7748,130081,9396502.49,7919629
2015,江西,11870,123459,9508789.44,4709773
2015,山东,18648,228575,19015179.49,12731200
2015,河南,17481,273316,18204759.8,11115127
2015,湖北,6814,134279,9701603.3,6108216
2015,湖南,13944,175737,13393530.34,7245889
2015,广东,16368,436203,29251619.11,22959693
2015,广西,10397,126788,8637117.17,5190315
2015,海南,1928,32207,2137242.06,1567597
2015,重庆,4816,71864,4726598.39,3610439
2015,四川,12365,165671,11305956.42,9670452
2015,贵州,5993,87902,6248507.03,3700214
2015,云南,6540,81455,6614895.38,4452847
2015,西藏,882,4098,668142.73,1430603
2015,陕西,7438,127418,8640357.29,7375655
2015,甘肃,3971,42305,3552861.62,2516399
2015,青海,1525,11711,1135229.06,944759
2015,宁夏,788,14504,1362646.47,962357
2015,新疆,4247,52160,5276386.72,4153749
,,,,,
2016,北京,1570,65806,4161257.52,9941509
2016,天津,2092,27017,1886424.79,3327080
2016,河北,13635,160650,11809361.4,9952270
2016,山西,6708,79984,6183483.35,4413174
2016,内蒙古,3672,63994,5241137.65,5630283
2016,辽宁,10133,108441,6838336.94,5466732
2016,吉林,4133,53141,3031297.15,3237312
2016,黑龙江,5720,62919,4249906.3,3410435
2016,上海,1553,58930,5972264.55,11540862
2016,江苏,6867,235229,21938939.39,19056274
2016,浙江,8771,223377,16537303.04,16385936
2016,安徽,7895,124264,9403793.13,6144485
2016,福建,7791,138215,10093326.08,8724521
2016,江西,14071,116440,11264945.19,5602918
2016,山东,18853,243932,20453278.85,14196244
2016,河南,18695,297006,20242094.15,12997713
2016,湖北,7500,152252,10841374.31,7923182
2016,湖南,14365,195150,14801676.82,8660463
2016,广东,17288,469367,31839405.51,27444621
2016,广西,11013,140128,9848140.51,6913006
2016,海南,2176,36898,2460139.65,2262357
2016,重庆,5109,79479,5366249.36,4492889
2016,四川,12903,182221,12971525.49,12355838
2016,贵州,8008,120829,7969753.06,5289444
2016,云南,7310,89122,7726936.05,5699829
2016,西藏,1028,4725,887133.54,1725313
2016,陕西,7313,140656,9496833.49,8325052
2016,甘肃,6441,56510,4681897.84,3845325
2016,青海,1667,17092,1354000.38,1316458
2016,宁夏,889,16272,1575033.06,1268266
2016,新疆,4643,57784,5866293.81,5124649
